Date,Open,High,Low,Close,Volume
2013-02-08,26.76,26.91,26.7,26.82,3333740
2013-02-11,26.7,26.79,26.58,26.61,2791559
2013-02-12,26.61,27.12,26.55,27.09,5419631
2013-02-13,27.15,27.3,27.09,27.3,6273361
2013-02-14,27.21,28.11,27.12,27.87,10368995
2013-02-15,28.02,28.08,27.6,27.96,9927535
2013-02-19,27.93,27.96,27.15,27.18,8057467
2013-02-20,27.21,27.24,26.25,26.28,9810713
2013-02-21,26.25,26.445,25.8,25.98,8894203
2013-02-22,26.16,26.19,25.83,25.92,6079333
2013-02-25,26.1,26.16,25.23,25.26,8042930
2013-02-26,25.425,25.5,25.05,25.23,7304351
2013-02-27,25.26,25.71,25.2,25.62,5943026
2013-02-28,25.59,25.8,25.41,25.56,7523100
2013-03-01,25.35,25.5,25.14,25.32,7014777
2013-03-04,25.17,25.26,24.9,25.05,6795289
2013-03-05,25.29,25.35,25.05,25.05,5514577
2013-03-06,25.32,25.89,25.17,25.71,5406976
2013-03-07,25.8,25.98,25.68,25.92,3915109
2013-03-08,26.04,26.1,25.8,25.83,5166080
2013-03-11,25.83,26.04,25.74,26.01,3674870
2013-03-12,26.01,26.1,25.7166,25.86,3816582
2013-03-13,25.83,25.89,25.44,25.62,4363691
2013-03-14,25.56,25.725,25.53,25.65,4341684
2013-03-15,25.65,25.89,25.56,25.89,4289903
2013-03-18,25.5,25.95,25.5,25.68,4174011
2013-03-19,25.68,25.86,25.245,25.44,6923738
2013-03-20,25.56,25.77,25.44,25.62,5827491
2013-03-21,25.5,25.62,25.35,25.35,2967403
2013-03-22,25.41,25.5,25.26,25.35,3517274
2013-03-25,25.44,25.44,25.11,25.26,3140338
2013-03-26,25.32,25.44,25.05,25.26,6210171
2013-03-27,25.08,25.56,24.99,25.47,3732221
2013-03-28,25.32,25.65,25.23,25.56,5335381
2013-04-01,25.53,25.62,24.99,25.17,7080155
2013-04-02,25.26,25.26,24.81,24.9,5831927
2013-04-03,24.9,24.96,24.6,24.81,6270748
2013-04-04,24.87,25.17,24.6,24.66,7611565
2013-04-05,24.42,24.87,24.315,24.72,8078732
2013-04-08,24.9,25.23,24.6,25.17,13685112
2013-04-09,24.9,25.5,24.84,25.17,13855442
2013-04-10,25.29,25.41,24.9,24.93,6941743
2013-04-11,24.9,25.2,24.81,24.96,4393128
2013-04-12,24.9,24.96,24.51,24.66,7150153
2013-04-15,24.42,24.51,24.03,24.12,10819086
2013-04-16,24.225,24.6,24.18,24.3,7608707
2013-04-17,24.12,24.24,23.79,23.88,9080078
2013-04-18,24.0,24.24,23.7,24.09,6359960
2013-04-19,24.27,24.33,24.0,24.24,5220566
2013-04-22,24.36,24.45,23.97,24.33,4919484
2013-04-23,24.36,24.51,24.12,24.36,5418548
2013-04-24,24.36,25.35,24.36,25.23,7343671
2013-04-25,25.26,25.5,25.0305,25.17,6131972
2013-04-26,25.05,25.08,24.78,24.81,5046871
2013-04-29,24.87,25.32,24.81,25.26,4024943
2013-04-30,25.14,25.56,24.93,25.5,4966733
2013-05-01,25.35,25.56,24.96,25.29,6727563
2013-05-02,25.38,25.47,25.11,25.38,3381354
2013-05-03,25.56,26.1,25.5,25.86,7056207
2013-05-06,25.98,26.16,25.8,26.07,3475458
2013-05-07,26.1,26.25,25.83,25.92,4111522
2013-05-08,25.95,26.64,25.95,26.61,6968572
2013-05-09,26.46,26.64,26.25,26.37,5169377
2013-05-10,26.34,26.4,25.8,26.1,4858580
2013-05-13,25.98,26.04,25.53,25.59,4202079
2013-05-14,25.56,25.8,25.5,25.68,3608025
2013-05-15,25.62,25.65,25.35,25.5,3749221
2013-05-16,25.32,25.83,25.2,25.5,5600718
2013-05-17,25.68,25.98,25.65,25.83,4194542
2013-05-20,25.83,26.31,25.83,26.28,5515321
2013-05-21,26.34,26.52,26.04,26.28,4615694
2013-05-22,26.28,26.64,25.89,26.07,7681608
2013-05-23,25.74,25.77,25.44,25.62,7002595
2013-05-24,25.53,25.74,25.35,25.44,4572657
2013-05-28,25.74,25.83,25.53,25.77,6149594
2013-05-29,25.68,26.04,25.62,25.74,4518164
2013-05-30,25.56,25.68,25.38,25.47,5829893
2013-05-31,25.41,25.86,25.35,25.5,6037704
2013-06-03,25.59,25.77,25.29,25.56,5263408
2013-06-04,25.5,25.59,25.05,25.14,4504106
2013-06-05,25.02,25.08,24.51,24.6,6913830
2013-06-06,24.63,24.81,24.51,24.78,4700683
2013-06-07,24.84,25.05,24.6,24.99,3254617
2013-06-10,25.02,25.17,24.69,25.08,3643594
2013-06-11,24.75,24.9,24.63,24.69,3965641
2013-06-12,24.87,24.93,24.48,24.54,3884555
2013-06-13,24.54,24.81,24.48,24.6,5029455
2013-06-14,24.78,24.9,24.33,24.36,5551079
2013-06-17,24.6,24.63,24.3,24.33,4302772
2013-06-18,24.36,24.66,24.3,24.63,4147999
2013-06-19,24.51,24.66,24.33,24.33,5582589
2013-06-20,24.12,24.24,23.91,24.045,13145696
2013-06-21,24.18,24.33,23.94,23.94,14980873
2013-06-24,23.88,23.91,23.115,23.37,9962901
2013-06-25,23.61,23.79,23.49,23.76,5624046
2013-06-26,23.88,23.88,23.16,23.25,7910900
2013-06-27,23.4,23.61,23.28,23.61,4630600
2013-06-28,23.49,23.64,23.34,23.46,4842373
2013-07-01,23.49,23.73,23.34,23.58,4773506
2013-07-02,23.4,23.67,23.22,23.4,5258657
2013-07-03,23.04,23.16,22.89,23.13,3835283
2013-07-05,23.31,23.43,22.98,23.43,4965657
2013-07-08,23.64,23.82,23.4,23.76,7975866
2013-07-09,23.97,24.03,23.34,23.73,13457649
2013-07-10,23.67,23.82,23.52,23.76,4890684
2013-07-11,24.06,24.33,23.94,24.3,6118022
2013-07-12,24.24,24.42,24.06,24.3,6386471
2013-07-15,24.27,24.54,24.24,24.51,2504198
2013-07-16,24.51,24.54,24.21,24.33,3478367
2013-07-17,24.39,24.63,24.36,24.57,3466327
2013-07-18,24.57,24.75,24.54,24.63,3950004
2013-07-19,24.69,24.69,24.12,24.21,7907047
2013-07-22,24.3,24.42,24.21,24.36,2708170
2013-07-23,24.45,24.63,24.3,24.42,4617390
2013-07-24,24.42,24.42,24.03,24.15,3979356
2013-07-25,24.12,24.33,23.79,24.09,4115469
2013-07-26,24.0,24.24,23.8815,24.21,2910322
2013-07-29,24.18,24.18,24.0,24.12,2798034
2013-07-30,24.12,24.18,23.94,24.09,3841373
2013-07-31,24.06,24.24,23.82,23.85,4957677
2013-08-01,24.0,24.24,23.79,23.85,6020719
2013-08-02,23.82,24.09,23.73,23.91,4016815
2013-08-05,23.82,24.03,23.73,24.0,6426595
2013-08-06,23.955,24.09,23.73,23.73,5295753
2013-08-07,23.64,23.9904,23.34,23.37,6841106
2013-08-08,23.58,23.76,23.28,23.73,6252475
2013-08-09,23.76,24.66,23.76,24.66,12825084
2013-08-12,24.66,24.84,24.54,24.78,7235002
2013-08-13,24.84,24.87,24.36,24.45,5740443
2013-08-14,24.48,24.72,24.21,24.48,4279129
2013-08-15,24.27,24.54,24.03,24.48,5434863
2013-08-16,24.24,24.36,23.85,24.36,9963885
2013-08-19,24.21,24.27,23.79,23.82,6198287
2013-08-20,23.85,24.06,23.76,24.0,5123144
2013-08-21,23.94,24.0,23.49,23.52,8023902
2013-08-22,23.76,24.18,23.73,24.09,6445131
2013-08-23,24.12,24.36,24.03,24.15,3713630
2013-08-26,24.21,24.36,24.12,24.18,4283572
2013-08-27,23.97,24.09,23.7,23.745,5571806
2013-08-28,23.715,24.03,23.7,23.79,4501631
2013-08-29,23.76,23.82,23.37,23.43,8588121
2013-08-30,23.46,23.52,23.04,23.1,14571879
2013-09-03,23.37,23.52,23.1,23.16,9602495
2013-09-04,23.37,23.52,23.19,23.52,9500923
2013-09-05,23.49,23.73,23.43,23.61,7468349
2013-09-06,23.7,23.85,23.55,23.76,5800430
2013-09-09,23.88,24.45,23.82,24.24,12515657
2013-09-10,24.12,24.3,23.88,24.165,9508706
2013-09-11,24.12,24.57,24.03,24.57,8910953
2013-09-12,24.36,24.585,24.27,24.48,5251467
2013-09-13,24.45,24.54,24.18,24.24,4994460
2013-09-16,24.51,24.54,24.27,24.3,5183132
2013-09-17,24.3,24.9,24.3,24.78,7400081
2013-09-18,24.72,25.83,24.66,25.665,12983407
2013-09-19,25.83,26.04,25.2,25.32,11026043
2013-09-20,25.32,25.32,24.78,24.87,15718459
2013-09-23,24.75,25.11,24.75,24.84,4364816
2013-09-24,24.81,25.2,24.78,24.9,5100718
2013-09-25,24.99,25.2,24.9,24.99,3718629
2013-09-26,24.99,25.0797,24.72,24.81,5147167
2013-09-27,24.75,24.84,24.54,24.6,4704584
2013-09-30,24.3,24.6,24.21,24.36,6655831
2013-10-01,24.3,24.57,24.12,24.51,5361654
2013-10-02,23.79,24.21,23.67,24.06,12723630
2013-10-03,23.97,24.03,23.46,23.58,11267913
2013-10-04,23.7,24.18,23.64,23.88,6651528
2013-10-07,23.7,24.0,23.52,23.91,12249014
2013-10-08,24.03,24.03,23.64,23.82,11880619
2013-10-09,24.51,24.9,24.27,24.3,22092034
2013-10-10,24.54,25.26,24.48,25.05,13617589
2013-10-11,25.02,25.26,24.72,24.96,9142235
2013-10-14,24.81,25.47,24.81,25.35,6479993
2013-10-15,25.41,25.56,25.05,25.14,8469940
2013-10-16,25.11,25.62,25.11,25.59,8231271
2013-10-17,25.44,25.8,25.41,25.77,6838506
