Date,Open,High,Low,Close,Volume
2013-02-08,40.87,41.35,40.81,41.26,8003177
2013-02-11,41.24,41.44,40.73,40.87,8821128
2013-02-12,40.99,41.15,40.64,40.71,5599618
2013-02-13,40.83,41.1,40.63,40.84,6009575
2013-02-14,40.72,43.96,40.72,43.32,26175786
2013-02-15,43.0,43.2,42.24,42.7,19394089
2013-02-19,43.54,43.96,42.59,42.81,15348601
2013-02-20,42.86,42.95,41.55,41.62,15692625
2013-02-21,41.36,41.43,40.26,40.77,18734922
2013-02-22,40.91,41.19,40.325,41.11,9084681
2013-02-25,41.4,41.75,39.75,39.85,9781196
2013-02-26,40.02,40.68,39.485,40.49,9852377
2013-02-27,40.1,41.4,40.06,41.27,9178724
2013-02-28,41.23,41.98,40.92,41.51,9741917
2013-03-01,41.17,41.36,40.465,40.63,9560392
2013-03-04,40.19,40.5,39.52,39.96,9178598
2013-03-05,40.15,41.02,40.0,41.0,9066735
2013-03-06,41.46,41.46,40.35,40.8,6609930
2013-03-07,41.06,41.43,40.47,41.41,9665281
2013-03-08,41.78,42.22,41.48,42.08,11000400
2013-03-11,41.9,42.27,41.6,42.0,9047012
2013-03-12,42.05,42.55,41.71,41.96,7073090
2013-03-13,41.99,42.378,41.643,41.84,8237954
2013-03-14,41.96,42.64,41.64,42.54,8683120
2013-03-15,42.35,42.64,41.88,41.9,14429722
2013-03-18,41.16,41.8,40.48,40.73,13678569
2013-03-19,40.77,40.93,38.83,39.62,27651760
2013-03-20,40.0,40.12,38.8665,39.44,13585221
2013-03-21,39.5,40.07,39.36,39.47,10858353
2013-03-22,39.53,39.9,39.0,39.16,14656637
2013-03-25,39.6,39.85,39.175,39.65,9896599
2013-03-26,39.81,40.18,39.71,40.13,11004033
2013-03-27,39.97,40.89,39.63,40.66,8292448
2013-03-28,40.58,40.71,40.12,40.41,7118907
2013-04-01,40.35,40.44,39.46,39.93,6884331
2013-04-02,39.93,40.39,39.58,39.89,6905871
2013-04-03,39.94,40.06,38.45,38.75,12978800
2013-04-04,38.75,38.8433,38.19,38.54,10367999
2013-04-05,37.98,38.73,37.8,38.6,14112823
2013-04-08,38.54,38.6586,38.141,38.41,10548350
2013-04-09,38.47,39.27,38.18,39.11,8488957
2013-04-10,39.15,40.68,39.14,40.39,10962560
2013-04-11,40.52,41.24,40.11,41.17,10107720
2013-04-12,40.79,40.93,40.08,40.86,9618439
2013-04-15,40.09,40.21,38.55,38.66,13482251
2013-04-16,39.1,39.77,38.56,39.69,9736628
2013-04-17,39.22,39.24,37.45,37.69,17464857
2013-04-18,37.77,38.365,37.07,37.71,15808444
2013-04-19,38.07,38.49,36.77,37.21,20003984
2013-04-22,38.96,39.41,38.05,39.29,26096316
2013-04-23,39.45,39.98,38.99,39.69,14161295
2013-04-24,40.32,41.8,40.27,40.92,16266267
2013-04-25,41.04,41.6,40.66,40.75,10031421
2013-04-26,40.54,40.85,40.16,40.57,6921221
2013-04-29,40.87,41.98,40.46,41.57,11177789
2013-04-30,41.6,42.82,41.56,42.77,21270145
2013-05-01,42.0,42.33,41.69,42.08,12828496
2013-05-02,42.21,42.6,41.835,42.4,12119261
2013-05-03,42.79,43.24,42.45,42.55,11348318
2013-05-06,42.46,43.31,42.45,43.06,7955939
2013-05-07,43.25,43.79,42.88,43.42,8226533
2013-05-08,43.4,43.79,43.06,43.7,6773893
2013-05-09,43.63,43.75,43.26,43.56,6691913
2013-05-10,43.2,43.4,42.76,43.39,8941826
2013-05-13,43.13,43.63,43.13,43.56,8863841
2013-05-14,43.56,44.57,43.39,44.2,11698585
2013-05-15,43.96,44.265,43.155,44.13,9650094
2013-05-16,44.11,44.44,43.73,43.85,8220080
2013-05-17,44.63,45.25,44.41,45.25,13356925
2013-05-20,45.02,45.63,44.9,45.55,8296068
2013-05-21,45.58,45.75,43.9,44.83,17699422
2013-05-22,44.8,45.06,43.72,44.02,13182626
2013-05-23,42.45,43.64,41.91,43.52,11128302
2013-05-24,43.36,43.36,42.58,43.02,8454298
2013-05-28,43.8,43.95,43.2575,43.37,9243719
2013-05-29,42.99,43.76,42.96,43.57,6382111
2013-05-30,42.68,43.06,42.03,42.63,15691349
2013-05-31,42.41,42.68,41.85,41.85,9362387
2013-06-03,41.93,42.43,41.55,42.39,8136953
2013-06-04,42.29,42.87,41.77,41.99,10579589
2013-06-05,41.9,42.12,41.68,41.76,9560406
2013-06-06,41.83,42.38,41.38,42.35,7737192
2013-06-07,42.57,43.25,42.25,43.16,7279234
2013-06-10,43.32,43.34,42.59,42.82,6137297
2013-06-11,42.22,42.62,41.83,42.04,6636040
2013-06-12,42.37,42.59,41.6,41.61,6972980
2013-06-13,41.66,43.2,41.66,43.08,7249557
2013-06-14,43.38,43.5,42.68,42.93,7506206
2013-06-17,43.36,43.94,43.24,43.62,6744630
2013-06-18,43.63,44.47,43.63,44.07,9805712
2013-06-19,43.99,44.35,43.05,43.05,9389408
2013-06-20,42.46,42.59,41.62,41.8,11032978
2013-06-21,42.1,42.25,41.19,41.79,10240454
2013-06-24,41.21,41.43,40.12,40.95,11160285
2013-06-25,41.45,41.75,40.96,41.15,10536968
2013-06-26,41.49,41.8,41.2,41.47,8239800
2013-06-27,41.67,42.1,41.61,41.84,6786924
2013-06-28,41.7,42.18,41.5,41.72,9600479
2013-07-01,42.03,42.62,41.86,42.45,8624055
2013-07-02,42.44,43.34,42.41,42.79,9190731
2013-07-03,42.77,43.304,42.56,42.65,3772123
2013-07-05,43.01,43.8299,42.659,43.71,6014193
2013-07-08,44.0,44.2,43.65,43.92,7505370
2013-07-09,44.31,44.57,44.05,44.31,8332135
2013-07-10,44.23,44.78,43.89,44.13,7712661
2013-07-11,44.75,44.87,43.665,44.18,7294411
2013-07-12,44.07,44.67,43.9701,44.64,5130797
2013-07-15,44.67,44.69,43.8,44.11,7297397
2013-07-16,44.19,44.32,43.43,43.63,5608569
2013-07-17,43.64,44.23,43.64,44.14,8307187
2013-07-18,44.22,44.93,44.16,44.74,9196682
2013-07-19,45.1,45.99,44.93,45.83,15152532
2013-07-22,46.09,46.66,44.81,45.08,17306257
2013-07-23,45.62,46.24,45.52,45.58,10816744
2013-07-24,45.64,45.78,44.62,44.82,8235418
2013-07-25,44.64,45.14,43.78,44.34,12299591
2013-07-26,46.45,46.5,45.54,45.98,23512096
2013-07-29,45.73,45.85,45.3265,45.53,11513201
2013-07-30,45.59,45.59,44.94,45.23,8185985
2013-07-31,45.19,45.62,44.96,45.19,8360982
2013-08-01,45.72,46.485,45.67,46.41,9101265
2013-08-02,46.28,46.485,46.05,46.3,5322671
2013-08-05,46.16,46.25,45.76,46.05,4540304
2013-08-06,45.88,46.09,45.54,45.85,6140511
2013-08-07,45.57,45.8,45.34,45.53,5354333
2013-08-08,45.83,46.5,45.83,46.14,8820856
2013-08-09,46.18,46.49,45.72,46.03,5217295
2013-08-12,45.73,46.19,45.6175,46.02,5256032
2013-08-13,46.19,46.99,46.15,46.58,8431966
2013-08-14,46.67,46.99,46.53,46.82,6822659
2013-08-15,46.5,46.78,46.27,46.68,6940017
2013-08-16,46.58,46.98,46.54,46.95,7932250
2013-08-19,46.83,47.19,46.55,46.65,12593021
2013-08-20,46.6,47.665,46.4802,47.35,15040222
2013-08-21,47.22,47.5,46.91,46.98,18657549
2013-08-22,47.19,47.97,47.01,47.82,22194651
2013-08-23,47.31,48.77,47.1499,48.71,39570524
2013-08-26,48.73,49.37,48.38,48.44,11125727
2013-08-27,47.98,48.72,47.68,48.13,13077094
2013-08-28,48.07,49.28,48.05,48.9,9910743
2013-08-29,49.0,49.05,48.23,48.54,10600179
2013-08-30,48.25,48.4,47.915,48.0,9777097
2013-09-03,48.35,48.54,47.98,48.3,6959046
2013-09-04,48.85,49.41,48.4801,49.08,9141997
2013-09-05,49.28,50.14,49.24,49.77,9242053
