Date,Open,High,Low,Close,Volume
2013-02-08,9.5,9.6,9.48,9.57,7594244
2013-02-11,9.51,9.56,9.46,9.48,10757473
2013-02-12,9.52,9.55,9.45,9.53,8899691
2013-02-13,9.55,9.55,9.45,9.45,11420066
2013-02-14,9.45,9.53,9.44,9.48,9224756
2013-02-15,9.53,9.555,9.3901,9.48,9586924
2013-02-19,9.5,9.64,9.47,9.58,11510478
2013-02-20,9.54,9.56,9.34,9.35,11429149
2013-02-21,9.35,9.41,9.26,9.34,15916073
2013-02-22,9.4,9.52,9.39,9.51,8589278
2013-02-25,9.55,9.6,9.22,9.24,20192204
2013-02-26,9.31,9.33,9.14,9.24,20370846
2013-02-27,9.24,9.39,9.23,9.38,12617845
2013-02-28,9.39,9.48,9.3,9.39,11917053
2013-03-01,9.26,9.4,9.2,9.33,10548111
2013-03-04,9.32,9.5,9.3,9.49,15461034
2013-03-05,9.53,9.63,9.49,9.52,15288373
2013-03-06,9.58,9.75,9.56,9.66,16625014
2013-03-07,9.79,9.945,9.76,9.92,28262684
2013-03-08,10.03,10.03,9.8,9.86,23450892
2013-03-11,9.88,9.95,9.825,9.91,14512737
2013-03-12,9.91,9.91,9.79,9.86,11778889
2013-03-13,9.86,10.02,9.84,10.0,13891719
2013-03-14,10.04,10.05,9.89,10.0,11156168
2013-03-15,9.99,10.14,9.92,10.11,19676368
2013-03-18,9.96,10.15,9.94,10.11,11376706
2013-03-19,10.15,10.16,9.965,10.07,14949166
2013-03-20,10.14,10.19,10.11,10.15,10113259
2013-03-21,10.11,10.135,10.0,10.02,8106407
2013-03-22,10.06,10.07,10.0,10.05,6711598
2013-03-25,10.1,10.11,9.95,9.97,8407943
2013-03-26,10.01,10.1,9.95,10.09,9169787
2013-03-27,10.02,10.04,9.94,10.04,6768642
2013-03-28,10.01,10.1,9.88,9.96,11450571
2013-04-01,9.92,9.94,9.75,9.82,9237575
2013-04-02,9.85,9.85,9.71,9.75,7406775
2013-04-03,9.74,9.75,9.543,9.59,10508941
2013-04-04,9.59,9.72,9.57,9.71,9831126
2013-04-05,9.57,9.69,9.44,9.66,16508894
2013-04-08,9.64,9.81,9.56,9.81,8160663
2013-04-09,9.82,9.9,9.755,9.85,6668442
2013-04-10,9.91,10.04,9.87,10.03,9333751
2013-04-11,10.04,10.26,9.935,10.03,23954598
2013-04-12,9.95,10.03,9.83,9.84,14373912
2013-04-15,9.8,9.83,9.55,9.55,12563777
2013-04-16,9.7,9.7,9.54,9.65,13123037
2013-04-17,9.58,9.64,9.46,9.53,13926448
2013-04-18,9.53,9.59,9.285,9.33,21239049
2013-04-19,9.37,9.45,9.29,9.41,9342060
2013-04-22,9.39,9.54,9.3,9.44,8021152
2013-04-23,9.48,9.65,9.48,9.59,9836652
2013-04-24,9.58,9.75,9.58,9.73,6476345
2013-04-25,9.76,9.9,9.76,9.83,6502178
2013-04-26,9.83,9.895,9.72,9.8,7818437
2013-04-29,9.82,9.99,9.82,9.91,9326219
2013-04-30,9.84,10.0,9.79,9.97,13378111
2013-05-01,9.95,10.0,9.87,9.88,7669257
2013-05-02,9.89,9.98,9.84,9.92,8496442
2013-05-03,9.98,10.11,9.98,10.03,7669240
2013-05-06,10.05,10.15,10.01,10.14,6755181
2013-05-07,10.18,10.24,10.1,10.23,8867150
2013-05-08,10.21,10.38,10.16,10.35,7821248
2013-05-09,10.33,10.37,10.25,10.29,5453085
2013-05-10,10.31,10.36,10.24,10.3,6028708
2013-05-13,10.29,10.43,10.27,10.35,5657553
2013-05-14,10.36,10.55,10.35,10.55,8544371
2013-05-15,10.5,10.72,10.42,10.63,12291658
2013-05-16,10.63,10.72,10.56,10.57,9375439
2013-05-17,10.66,10.85,10.63,10.8,9686036
2013-05-20,10.77,10.93,10.76,10.85,8770086
2013-05-21,10.87,10.95,10.8215,10.86,6393453
2013-05-22,10.85,11.0,10.65,10.69,12546668
2013-05-23,10.48,10.69,10.44,10.63,8453263
2013-05-24,10.55,10.67,10.53,10.66,6965771
2013-05-28,10.78,10.85,10.66,10.74,9828349
2013-05-29,10.66,10.82,10.57,10.72,11826661
2013-05-30,10.75,10.94,10.74,10.85,11078594
2013-05-31,10.8299,10.89,10.75,10.78,12467985
2013-06-03,10.8,10.89,10.62,10.77,8358713
2013-06-04,10.76,10.89,10.65,10.67,6664511
2013-06-05,10.64,10.71,10.48,10.48,8709911
2013-06-06,10.46,10.6,10.4008,10.59,8491874
2013-06-07,10.69,10.89,10.62,10.86,12459149
2013-06-10,10.87,11.06,10.84,10.99,15392691
2013-06-11,10.89,10.94,10.735,10.74,10677686
2013-06-12,10.81,10.84,10.48,10.48,11838079
2013-06-13,10.48,10.69,10.41,10.68,9921398
2013-06-14,10.65,10.66,10.31,10.41,11455292
2013-06-17,10.47,10.5,10.35,10.42,8790561
2013-06-18,10.39,10.59,10.355,10.5,10058439
2013-06-19,10.48,10.52,10.38,10.41,10232612
2013-06-20,10.32,10.65,10.24,10.37,26925915
2013-06-21,10.49,10.62,10.354,10.54,17503937
2013-06-24,10.4,10.56,10.32,10.44,13035305
2013-06-25,10.54,10.75,10.48,10.72,11249380
2013-06-26,10.97,10.97,10.78,10.88,13131516
2013-06-27,10.98,11.09,10.91,11.08,9506143
2013-06-28,11.04,11.09,10.91,11.04,10052498
2013-07-01,11.07,11.4,11.06,11.24,12289875
2013-07-02,11.24,11.49,11.21,11.4,12124372
2013-07-03,11.33,11.46,11.29,11.43,5205098
