Date,Open,High,Low,Close,Volume
2013-02-08,26.96,27.03,26.79,26.88,37444410
2013-02-11,26.89,27.23,26.89,27.14,26301872
2013-02-12,27.14,27.18,26.99,26.99,21160293
2013-02-13,27.01,27.19,26.83,27.0,23903919
2013-02-14,26.91,27.14,26.81,27.06,24209871
2013-02-15,27.15,27.43,27.12,27.29,29582324
2013-02-19,27.4,27.71,27.38,27.71,28422094
2013-02-20,27.65,27.75,27.55,27.57,26058159
2013-02-21,27.41,27.54,27.23,27.41,24520676
2013-02-22,27.48,27.5,27.13,27.38,29726833
2013-02-25,27.21,27.35,26.84,26.84,35540546
2013-02-26,26.89,27.1,26.82,27.03,29985991
2013-02-27,26.93,27.54,26.92,27.41,24385149
2013-02-28,27.37,27.639,27.36,27.37,30099312
2013-03-01,27.18,27.45,27.15,27.39,29066820
2013-03-04,27.31,27.7,27.26,27.69,24930067
2013-03-05,27.77,28.2,27.77,28.07,31103766
2013-03-06,28.1,28.21,27.93,28.12,27121255
2013-03-07,28.18,28.38,28.12,28.27,27694715
2013-03-08,28.33,28.36,28.04,28.19,27033979
2013-03-11,28.16,28.31,28.1,28.25,25495432
2013-03-12,28.23,28.23,27.88,27.94,29713877
2013-03-13,27.93,28.08,27.8,28.02,24738350
2013-03-14,28.04,28.11,27.88,28.11,27788247
2013-03-15,27.84,28.06,27.755,28.02,63159497
2013-03-18,27.74,28.24,27.74,28.04,29322421
2013-03-19,28.1,28.23,27.9,27.99,27108658
2013-03-20,28.17,28.4,28.11,28.29,30696743
2013-03-21,28.17,28.32,28.025,28.11,23583170
2013-03-22,28.12,28.39,28.11,28.38,23087238
2013-03-25,28.45,28.51,27.98,28.16,30717557
2013-03-26,28.26,28.66,28.23,28.6,31844831
2013-03-27,28.52,28.66,28.45,28.64,23575798
2013-03-28,28.66,28.9,28.62,28.86,27941527
2013-04-01,28.75,28.84,28.68,28.84,19286147
2013-04-02,28.97,29.32,28.94,29.23,24422226
2013-04-03,29.23,29.34,28.88,29.03,34534604
2013-04-04,29.18,29.44,29.04,29.16,30533785
2013-04-05,28.96,29.2,28.92,29.1,30439811
2013-04-08,28.98,29.17,28.64,29.16,25957429
2013-04-09,29.03,29.35,28.95,29.11,27543690
2013-04-10,29.49,30.0,29.45,29.92,40978102
2013-04-11,29.93,30.82,29.92,30.64,54657376
2013-04-12,30.45,30.88,30.45,30.67,39053576
2013-04-15,30.61,30.99,30.45,30.45,46915105
2013-04-16,30.54,30.99,30.48,30.94,31458844
2013-04-17,30.8,30.94,30.525,30.87,32243571
2013-04-18,30.85,30.94,30.48,30.59,31787672
2013-04-19,30.73,31.06,30.6049,31.06,29233931
2013-04-22,31.08,31.1,30.76,30.93,26092840
2013-04-23,30.98,31.15,30.625,31.08,33111928
2013-04-24,31.08,31.13,30.56,30.6,31516314
2013-04-25,30.65,30.66,29.92,30.26,35558886
2013-04-26,29.23,30.17,28.79,30.09,54022530
2013-04-29,30.12,30.58,29.93,30.43,27728883
2013-04-30,29.42,29.89,29.03,29.07,70033859
2013-05-01,28.83,29.728,28.8,28.9,45090672
2013-05-02,29.03,29.33,28.99,29.27,31860861
2013-05-03,29.53,29.63,28.7,28.96,43823118
2013-05-06,28.93,28.93,28.7,28.72,33108388
2013-05-07,28.89,29.18,28.83,29.03,30954131
2013-05-08,28.89,29.02,28.58,28.73,30748326
2013-05-09,28.75,28.77,28.42,28.6,27826080
2013-05-10,28.59,28.8,28.57,28.72,33069718
2013-05-13,28.75,29.37,28.67,29.37,33548645
2013-05-14,29.39,29.5,29.28,29.4,32727256
2013-05-15,29.4,29.69,29.175,29.56,29536204
2013-05-16,29.47,29.58,29.22,29.25,27609852
2013-05-17,29.21,29.37,28.83,28.96,37639072
2013-05-20,28.97,29.02,28.65,28.7,32142341
2013-05-21,28.71,28.83,28.31,28.78,44106364
2013-05-22,29.55,30.04,29.21,29.3,83672231
2013-05-23,29.08,29.33,28.85,29.11,51706133
2013-05-24,28.86,29.11,28.68,29.04,35080613
2013-05-28,29.3,29.5,28.94,29.01,37850486
2013-05-29,28.86,28.9,28.1,28.28,48860657
2013-05-30,28.37,28.45,28.11,28.25,43117321
2013-05-31,28.27,28.27,27.23,27.23,89694447
2013-06-03,27.3,27.77,27.12,27.75,57596967
2013-06-04,27.83,28.05,27.33,27.66,69971169
2013-06-05,27.73,27.97,27.375,27.48,71199325
2013-06-06,27.48,28.15,27.39,28.11,82473323
2013-06-07,28.24,28.62,28.03,28.26,83975306
2013-06-10,28.38,28.59,28.27,28.37,66492012
2013-06-11,28.04,28.64,27.95,28.42,83130060
2013-06-12,28.65,28.96,28.4,28.43,87974329
2013-06-13,28.37,29.15,28.35,29.08,72315254
2013-06-14,29.02,29.36,28.94,29.09,81829202
2013-06-17,29.4,29.4,28.9,29.16,152087575
2013-06-18,29.13,29.45,29.03,29.4,160345353
2013-06-19,29.37,29.81,28.9,29.1,121043136
2013-06-20,29.02,29.23,28.45,28.635,95696887
2013-06-21,28.86,29.11,28.46,28.46,222101847
2013-06-24,28.16,28.375,27.52,27.71,220946966
2013-06-25,28.08,28.15,27.58,27.99,118338161
2013-06-26,28.08,28.36,27.85,28.1,85893518
2013-06-27,28.39,28.66,28.11,28.18,154440304
2013-06-28,28.54,28.72,28.005,28.01,123046162
2013-07-01,27.97,28.3,27.71,27.78,67767056
2013-07-02,27.72,27.92,27.42,27.7,61299403
2013-07-03,27.46,27.7,27.33,27.65,22039760
2013-07-05,28.05,28.1,27.78,27.97,36588888
2013-07-08,28.24,28.295,28.08,28.13,32185489
2013-07-09,28.31,28.47,28.27,28.35,29130991
2013-07-10,28.47,28.51,28.305,28.44,27169247
2013-07-11,28.84,28.9,28.61,28.77,35929438
2013-07-12,28.5,28.81,28.46,28.81,29252551
2013-07-15,28.79,28.89,28.525,28.79,28127823
2013-07-16,28.84,28.955,28.615,28.68,34854756
2013-07-17,28.79,28.94,28.64,28.68,26058865
2013-07-18,28.67,28.79,28.46,28.49,31656589
2013-07-19,28.51,29.24,28.36,29.09,49061182
2013-07-22,29.0,29.41,29.0,29.35,28776191
2013-07-23,29.38,29.53,29.315,29.42,27277895
2013-07-24,29.44,29.55,29.18,29.28,23825591
2013-07-25,29.03,29.25,28.68,29.19,26352975
2013-07-26,28.92,29.41,28.91,29.37,26596732
2013-07-29,29.4,29.91,29.3,29.54,46577119
2013-07-30,29.89,30.428,29.64,29.67,44128717
2013-07-31,29.44,29.76,29.21,29.23,31310610
2013-08-01,29.43,29.45,28.98,29.11,31700015
2013-08-02,28.95,29.41,28.95,29.37,21919404
2013-08-05,29.3,29.3599,29.13,29.19,14392671
2013-08-06,29.24,29.42,29.18,29.34,24740970
2013-08-07,29.27,29.45,29.19,29.26,21400949
2013-08-08,29.215,29.3,29.02,29.13,22531861
2013-08-09,29.08,29.26,29.01,29.21,19720330
2013-08-12,29.07,29.23,29.03,29.19,19475933
2013-08-13,29.25,29.41,29.1,29.27,20028468
2013-08-14,29.22,29.44,29.0,29.03,23936587
2013-08-15,28.94,29.09,28.76,28.8,27240050
2013-08-16,28.66,28.68,28.29,28.37,28273643
2013-08-19,28.27,28.49,28.23,28.46,26833064
2013-08-20,28.56,28.75,28.52,28.53,20293003
2013-08-21,28.5,28.58,28.22,28.24,23225418
2013-08-22,28.33,28.33,28.11,28.16,22739780
2013-08-23,28.14,28.36,28.09,28.34,18506036
2013-08-26,28.33,28.37,28.02,28.02,20060347
2013-08-27,27.92,28.28,27.76,27.995,24604624
2013-08-28,27.95,28.49,27.81,28.21,29224555
2013-08-29,28.12,28.48,28.07,28.1,22075825
2013-08-30,28.05,28.4,28.01,28.21,29782347
2013-09-03,28.38,28.45,27.86,28.01,23685173
2013-09-04,28.19,28.54,28.07,28.37,25402628
2013-09-05,28.525,28.525,28.155,28.27,20829523
2013-09-06,28.28,28.54,28.07,28.28,22281437
2013-09-09,28.235,28.36,28.1,28.3,21989034
2013-09-10,28.38,28.52,28.28,28.45,23756483
2013-09-11,28.53,28.74,28.48,28.67,20081364
2013-09-12,28.64,28.75,28.27,28.31,28440104
2013-09-13,28.39,28.65,28.32,28.51,21959315
2013-09-16,28.74,28.85,28.6,28.71,23113508
2013-09-17,28.66,28.84,28.57,28.64,21992700
2013-09-18,28.73,29.27,28.65,29.04,30336346
2013-09-19,29.035,29.15,28.65,28.84,33651865
2013-09-20,28.97,29.13,28.925,28.97,40547685
2013-09-23,28.77,29.04,28.7,28.8,24879516
2013-09-24,28.73,28.94,28.61,28.71,18763247
2013-09-25,28.69,28.88,28.49,28.49,26197075
2013-09-26,28.63,28.7,28.35,28.52,25489438
2013-09-27,28.48,29.0,28.361,28.88,28204553
2013-09-30,28.71,28.8,28.61,28.725,26434072
2013-10-01,28.58,28.948,28.52,28.89,23506453
2013-10-02,28.69,29.01,28.64,29.01,22411489
2013-10-03,29.02,29.02,28.69,28.77,22687210
2013-10-04,28.83,29.04,28.6,29.0,19540377
2013-10-07,28.73,28.83,28.62,28.62,19423435
2013-10-08,28.6,28.69,28.23,28.24,25039973
2013-10-09,28.25,28.44,28.02,28.29,31449946
2013-10-10,28.62,28.77,28.29,28.77,24625269
2013-10-11,28.92,28.93,28.63,28.72,24403659
2013-10-14,28.56,29.36,28.55,29.35,28963886
2013-10-15,29.21,29.28,29.01,29.16,31497965
2013-10-16,29.26,29.81,29.19,29.8,31448475
2013-10-17,29.82,30.26,29.69,30.26,29711651
2013-10-18,30.19,30.74,30.08,30.51,43514781
2013-10-21,30.47,30.64,30.35,30.4,24066001
2013-10-22,30.38,30.94,30.33,30.68,32171116
2013-10-23,30.65,30.86,30.58,30.6,24931500
2013-10-24,30.68,30.91,30.56,30.61,25601155
2013-10-25,30.48,30.685,30.42,30.61,24435680
2013-10-28,30.45,30.81,30.45,30.74,25434590
2013-10-29,30.84,31.35,30.82,31.25,34478166
2013-10-30,31.25,31.28,30.8,30.93,22447937
2013-10-31,30.78,31.07,30.645,30.685,30327934
2013-11-01,30.7,31.26,30.69,31.17,28011935
2013-11-04,31.16,31.395,31.12,31.26,18806182
2013-11-05,31.19,31.34,31.02,31.24,18927440
2013-11-06,31.23,31.33,30.86,30.97,25019209
2013-11-07,30.99,31.24,30.91,30.91,25147782
2013-11-08,30.88,31.35,30.73,31.32,25020159
2013-11-11,31.22,31.3,31.16,31.24,16907652
2013-11-12,31.18,31.6,31.12,31.38,25209010
2013-11-13,31.28,31.87,31.28,31.87,27161343
2013-11-14,31.94,32.21,31.78,32.0,27522742
2013-11-15,31.83,32.2,31.71,32.2,24410743
2013-11-18,32.08,32.1499,31.91,32.01,21917726
2013-11-19,31.98,32.02,31.61,31.66,28822441
2013-11-20,31.79,32.1,31.65,31.92,20261873
2013-11-21,31.85,32.16,31.78,31.97,26112842
2013-11-22,31.9,32.16,31.8,32.12,25414127
2013-11-25,32.12,32.5,32.08,32.14,25408213
2013-11-26,32.27,32.27,31.88,31.89,23279302
2013-11-27,32.02,32.08,31.8,31.88,17036168
2013-11-29,31.88,32.02,31.7,31.73,11843419
2013-12-02,31.61,31.925,31.61,31.83,18767608
2013-12-03,31.69,31.71,31.165,31.22,37129377
2013-12-04,31.11,31.43,31.0,31.27,23786058
2013-12-05,31.1201,31.4,31.12,31.25,20666196
2013-12-06,31.55,31.61,31.325,31.54,18913723
2013-12-09,31.53,31.69,31.41,31.58,21264231
2013-12-10,31.41,31.49,31.2,31.34,22701555
2013-12-11,31.31,31.34,30.52,30.65,35033229
2013-12-12,30.55,30.77,30.205,30.25,29093828
2013-12-13,30.44,30.48,29.95,30.25,26081317
2013-12-16,30.3,30.63,30.1366,30.25,28216577
2013-12-17,30.18,30.31,30.01,30.14,28653453
2013-12-18,30.3,30.78,30.01,30.77,34869544
2013-12-19,30.78,31.01,30.61,30.71,32703730
2013-12-20,30.72,30.955,30.25,30.25,62314440
2013-12-23,30.46,30.5,30.17,30.35,22989140
2013-12-24,30.44,30.45,30.22,30.29,10992495
2013-12-26,30.37,30.56,30.32,30.55,12058285
2013-12-27,30.76,30.85,30.53,30.64,11958458
2013-12-30,30.54,30.7,30.39,30.69,14799396
2013-12-31,30.62,30.81,30.49,30.63,15171396
2014-01-02,30.47,30.6,30.33,30.46,17438787
2014-01-03,30.39,30.83,30.38,30.52,15036749
2014-01-06,30.77,30.95,30.53,30.55,23963087
2014-01-07,30.86,31.02,30.74,30.74,22233771
2014-01-08,30.78,30.985,30.65,30.95,22925752
2014-01-09,31.08,31.12,30.605,30.93,20581507
2014-01-10,30.84,30.95,30.5,30.69,21723998
2014-01-13,30.86,31.03,30.44,30.54,23992314
2014-01-14,30.58,31.05,30.55,31.0,32988558
2014-01-15,31.05,31.31,30.85,31.18,28821285
2014-01-16,31.18,31.42,31.09,31.17,18576035
2014-01-17,31.25,31.29,30.95,31.09,21624008
2014-01-21,31.32,31.41,30.95,31.23,24056887
2014-01-22,31.31,31.34,31.09,31.27,22361112
2014-01-23,31.02,31.23,30.91,31.01,25017107
2014-01-24,30.86,30.96,30.06,30.09,36245903
2014-01-27,30.04,30.249,29.66,29.66,33107687
2014-01-28,30.44,30.75,30.13,30.42,34099780
2014-01-29,30.24,30.46,30.0,30.11,29228410
2014-01-30,30.4,30.85,30.21,30.82,32113452
2014-01-31,30.56,30.66,30.21,30.4,41415729
2014-02-03,31.03,31.69,30.57,30.6,61312704
2014-02-04,31.64,32.0,30.6,31.44,47307645
2014-02-05,30.99,31.18,30.58,30.65,37160317
2014-02-06,30.705,30.91,30.6,30.84,23571095
2014-02-07,30.84,31.28,30.61,31.22,27925229
2014-02-10,31.26,31.47,31.13,31.47,22592138
2014-02-11,31.79,31.98,31.43,31.88,24751159
2014-02-12,31.87,32.0,31.55,31.61,21258791
2014-02-13,31.5,31.8479,31.4,31.7,18908053
2014-02-14,31.88,32.0,31.7,31.94,18916233
2014-02-18,31.81,32.09,31.7901,31.88,19688059
2014-02-19,31.92,31.96,31.44,31.48,27748274
2014-02-20,31.34,31.71,31.26,31.55,22456010
2014-02-21,31.68,31.77,31.44,31.46,18471924
2014-02-24,31.99,32.08,31.53,31.99,38786380
