Date,Open,High,Low,Close,Volume
2013-02-08,30.395,30.855,30.225,30.53,5476960
2013-02-11,30.395,30.53,30.2001,30.43,3679918
2013-02-12,30.49,30.495,30.09,30.33,3753442
2013-02-13,30.4,30.6749,30.2,30.22,4042886
2013-02-14,30.125,30.36,30.0107,30.19,2672010
2013-02-15,30.21,30.39,29.55,29.955,5282088
2013-02-19,30.05,30.05,29.565,29.965,4230796
2013-02-20,29.9,29.9961,29.31,29.35,4029898
2013-02-21,29.335,29.39,28.85,28.87,3839652
2013-02-22,28.935,29.155,28.465,29.08,4413976
2013-02-25,29.21,29.235,28.265,28.28,4921020
2013-02-26,28.285,28.535,28.09,28.115,5261506
2013-02-27,28.125,28.96,28.09,28.78,3498260
2013-02-28,28.865,29.2775,28.785,29.0,5290572
2013-03-01,28.945,29.12,28.61,29.065,4468336
2013-03-04,28.855,29.485,28.75,29.45,5185418
2013-03-05,29.485,29.8,29.3321,29.68,3795252
2013-03-06,29.615,29.87,29.5,29.85,4865492
2013-03-07,29.805,29.805,27.43,27.615,19959502
2013-03-08,27.875,28.405,27.75,28.1,8459900
2013-03-11,28.005,28.285,27.93,28.09,4006242
2013-03-12,28.09,28.244,27.865,27.95,2760924
2013-03-13,28.045,28.15,27.56,27.645,6764550
2013-03-14,27.74,28.145,27.68,27.935,4239328
2013-03-15,27.825,28.385,27.82,28.14,5645368
2013-03-18,27.78,28.125,27.71,28.02,5231114
2013-03-19,27.985,28.05,27.535,27.73,5828626
2013-03-20,27.935,28.12,27.71,28.085,4085260
2013-03-21,28.135,29.195,27.7793,29.03,9011204
2013-03-22,28.92,29.8,28.795,29.605,5276684
2013-03-25,29.575,29.78,29.4325,29.52,6317416
2013-03-26,29.715,29.99,29.5951,29.715,4990938
2013-03-27,29.445,30.135,29.415,30.025,3881468
2013-03-28,30.055,30.34,29.835,30.31,6356998
2013-04-01,30.245,30.3,29.84,29.915,5219210
2013-04-02,30.0,30.0699,29.645,29.705,4749106
2013-04-03,29.72,30.075,29.425,29.63,4732684
2013-04-04,29.69,30.155,29.65,30.04,4101336
2013-04-05,29.6,29.785,29.48,29.66,3885896
2013-04-08,29.57,29.69,29.4605,29.66,3747894
